,tconst,title,runtime_minutes,genres,averagerating,numvotes,studio,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,release_month,profit,ROI%,worldwide%
0,tt0337692,On the Road,124.0,"Adventure,Drama,Romance",6.1,37886,IFC,8000000.0,2013-03-22,25000000,720828,9313302,March,-15686698,-162.746792,0.9226023165575432
3,tt0359950,The Secret Life of Walter Mitty,114.0,"Adventure,Comedy,Drama",7.3,275300,Fox,129900000.0,2013-12-25,91000000,58236838,187861183,December,96861183,6.440860439560439,0.6900006852400158
4,tt0365907,A Walk Among the Tombstones,114.0,"Action,Crime,Drama",6.5,105116,Uni.,26900000.0,2014-09-19,28000000,26017685,62108587,September,34108587,21.816382142857144,0.5810935933866922
6,tt0376136,The Rum Diary,119.0,"Comedy,Drama",6.2,94787,FD,10800000.0,2011-10-28,45000000,13109815,21544732,October,-23455268,-152.12281777777778,0.3915071675061913
7,tt0383010,The Three Stooges,92.0,"Comedy,Family",5.1,28570,Fox,10500000.0,2012-04-13,30000000,44338224,54052249,April,24052249,-19.825836666666667,0.17971546382834136
8,tt0398286,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,BV,391000000.0,2010-11-24,260000000,200821936,586477240,November,326477240,25.568169230769232,0.6575793188496113
9,tt0401729,John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792,BV,211100000.0,2012-03-09,275000000,73058679,282778100,March,7778100,-97.1716,0.741639543514862
10,tt0427152,Dinner for Schmucks,114.0,Comedy,5.9,91546,P/DW,13800000.0,2010-07-30,69000000,73026337,86796502,July,17796502,-74.20796811594202,0.15864884739249055
11,tt0429493,The A-Team,117.0,"Action,Adventure,Thriller",6.8,235256,Fox,100000000.0,2010-06-11,110000000,77222099,177241171,June,67241171,-38.87166272727273,0.5643106025292509
12,tt0431021,The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649,LGF,36300000.0,2012-08-31,14000000,49130588,82925064,August,68925064,392.3218857142857,0.4075302974743559
13,tt0433035,Real Steel,127.0,"Action,Drama,Family",7.1,283534,BV,213800000.0,2011-10-07,110000000,85463309,263880341,October,153880341,39.89121909090909,0.676128548734898
14,tt0435651,The Giver,97.0,"Drama,Romance,Sci-Fi",6.5,104999,Wein.,21900000.0,2014-08-15,25000000,45090374,66540205,August,41540205,66.16082,0.3223589557621591
15,tt0435761,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,BV,652000000.0,2010-06-18,200000000,415004880,1068879522,June,868879522,334.43976100000003,0.6117383938430434
16,tt0443272,Lincoln,150.0,"Biography,Drama,History",7.4,228701,BV,93100000.0,2012-11-09,65000000,182207973,273346281,November,208346281,220.53274,0.33341704034378283
17,tt0443465,Before We Go,95.0,"Comedy,Drama,Romance",6.8,45181,RTWC,0.0,2015-09-04,3000000,37151,483938,September,-2516062,-183.86873333333332,0.9232319016072307
19,tt0448694,Puss in Boots,90.0,"Action,Adventure,Animation",6.6,133355,P/DW,405700000.0,2011-10-28,130000000,149260504,554987477,October,424987477,226.91344384615383,0.7310560865141827
20,tt0451279,Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,487527,WB,409300000.0,2017-06-02,150000000,412563408,821133378,June,671133378,347.422252,0.4975683377956656
